,review_date,title,score,pos,cons,reviewer,review_country,stay_date
0,8 February 2020,"Great location, pool area a huge plus , good dining",9.2,"Great location, pool area a huge plus , good dining",Bedroom very bland . No soft furnishings. Too little furniture in a big space . Uncomfortable couch area and needs colour or inventive design to make you want to spend any time in the bedroom. Hotel could do with a residents bar for a relaxing drink after dinner . Sitting in a closed off section in the lobby with AC is not a bar . Nobody minds the tour groups but deliver more for your guests.,Deirdre,Ireland,February 2020
1,7 February 2020,Absolutly Brillant,10.0,"The Place is very interesting and very comfy. Our family had a great time. We always stay at Marina Bay Sands. 
Thank you.",The inifinity Pool was awesome and we really enjoy it all the time.,Prince,Australia,January 2020
2,6 February 2020,Not worth the money,7.1,"Location and the view are the key factors to staying here.  You won’t get a better view of the city, bay or ocean.","The price was ridiculous I paid about $1000/night  for a high floored room thinking I would be pampered and have the ultimate experience.  Sadly the staff and accommodations let us down.
Freeze dried coffee and powdered milk for in room coffee options
No bidet on toilet.
No remote for the window dressings
Basic TV services and a remote control that barely worked.
No smart TV options
Minibar wasn’t updated everyday
NOT ONCE did the front of house staff open a door!
I got charged $5 for cucumber that were presented to the table as a free amuse bouche at Blossom restaurant.",Lenny,USA,February 2020
3,5 February 2020,If you liked Crazy Rich Asians then stay here,8.8,"Out of this world hotel. We stayed one night as it is expensive and also not that convenient location to walking around Singapore. The first 4 nights we stayed in a more central area so we could walk. The Gardens by the Bay are right there so one night we watched from below which is free and then watched the light show from our room the next night. The infinity pool is very cool. The night club was not so great. No place to sit, no one was dancing. Yes, the place is pricey but it was all about the experience which was worth it for one night.",It could have been cheaper. The bar at the night club didn't have great service.,Kathryn,USA,January 2020
4,5 February 2020,"Lovely rooms, sparkling clean, great amenities, excellent...",9.6,"Lovely rooms, sparkling clean, great amenities, excellent service, great concierges, and wonderful location.","Everything was so expensive, especially the restaurants.",Robert,USA,February 2020
5,5 February 2020,"Hotel Staff very friendly and helpful, services excellent.",9.2,"Hotel Staff very friendly and helpful, services excellent.","Business Center services of the hotel are really a big laugh. Old crap materials, 2 old computers having XP still and old windows 7, no possible to work or update with normal business standards. Poor small room out of the building, very incovenient and really a local internet cafe would look better. Services there overpriced compared to equipment and location. Would never use it for sure if known before. Expectations high because of excellent hotel staff and locations, but the business section is an absolite NO GO for interntational travelers that need a business center.",Barbara,Switzerland,February 2020
6,5 February 2020,Cost is too high. But indeed an amazing stay.,10.0,"Infinty pool.
Harbor view from room. 
Service.
Luggage service.","The staff at the lobby asked me for room key card in a rude manner near lift. Hope he smiles next time and then ask for room key card.
Nothing else.",Deepak,India,February 2020
7,4 February 2020,Rooms are honestly huge.,10.0,"Rooms are honestly huge. Amazing views all around, the Lavo Bar/Restaurant was amazing with the light show and fireworks was worth the view and money.","Nothing, was amazing",Rosevalentine,Australia,January 2020
8,3 February 2020,Amazing place!,10.0,"What a stunning hotel! Could not fault it at all. The staff were very friendly and accommodating and the service all round is second to none. 
The roof top pool is all that you would hope it is. We will definitely return one day.",Nothing.,Rebecca,United Kingdom,January 2020
9,3 February 2020,Phenomenal,9.2,"Marina Bay Sands certainly knows how to welcome/pamper its guests and make them feel special. I have informed the hotel before arrival that we are coming for our honeymoon, so they were kind enough to put us in a room with the Garden View which was an amazing gesture.. it really made our trip. Not just that, they even sent us 2 towels embroidered with with our names which was superb. I highly recommend the hotel and its buffet.. it is phenomenal, the diversity and quality of food is EXCELLENT!!!!","The pool menu and service, it is very crowded. a beautiful hotel like this needs to have a more luxurious menu/service by the pool.",Roulla,Egypt,December 2019
10,3 February 2020,Nice hotel but not for disabled people,5.0,The pool,"it's not a hotel for the disabled, I'm sorry but the truth, they have some very small wheelchairs available I would say for boys and not for adult men - the structure so large consisting of three towers were not available electric scooters for disabled people truly incredible -",Ettore 54,Italy,January 2020
