review_number,facility_ind,security_ind,pricing_ind,location_ind,fb_ind,housekeep_ind,frontoff_ind,Others,cons
0,1,0,0,0,0,0,0,0,bedroom bland
0,1,0,0,0,0,0,0,0,soft furnish
0,1,0,0,0,0,0,0,0,littl furnitur big space
0,1,0,0,0,0,0,0,0,uncomfort couch area need colour invent design make want spend time bedroom
0,0,0,0,0,1,0,0,0,hotel could resid bar relax drink dinner
0,0,0,0,0,0,0,1,0,sit close section lobbi ac bar
0,0,0,0,0,0,0,0,1,nobodi mind tour group deliv guest
2,0,0,1,0,0,0,0,0,price ridicul paid night high floor room think would pamper ultim experi
2,1,0,0,0,0,0,0,1,sad staff accommod let us
2,0,0,0,0,1,0,0,0,freez dri coffe powder milk room coffe option
2,1,0,0,0,0,0,0,0,bidet toilet
2,1,0,0,0,0,0,0,0,remot window dress
2,1,0,0,0,0,0,0,0,basic tv servic remot control bare work
2,1,0,0,0,0,0,0,0,smart tv option
2,0,0,0,0,1,0,0,0,minibar wasnt updat everyday
2,0,0,0,0,0,0,1,0,front hous staff open door
2,0,0,1,0,1,0,0,0,got charg cucumb present tabl free amus bouch blossom restaur could cheaper
3,0,0,0,0,1,0,0,0,bar night club didnt great servic
4,0,0,1,0,1,0,0,0,everyth expens especi restaur
5,0,0,0,0,0,0,0,1,busi center servic hotel realli big laugh
5,1,0,0,0,0,0,0,0,old crap materi old comput xp still old window possibl work updat normal busi standard
5,1,0,1,1,0,0,0,0,poor small room build incoveni realli local internet cafe would look better servic overpr compar equip locat would never use sure known
5,0,0,0,1,0,0,0,0,expect high excel hotel staff locat busi section absolit go internt travel need busi center
6,0,0,0,0,0,0,1,0,staff lobbi ask room key card rude manner near lift hope smile next time ask room key card
9,0,0,0,0,1,0,0,0,pool menu servic crowd beauti hotel like need luxuri menuservic pool
10,1,0,0,0,0,0,0,0,hotel disabl im sorri truth small wheelchair avail would say boy adult men structur larg consist three tower avail electr scooter disabl peopl truli incred
11,0,0,1,0,0,0,0,0,room price extrem high singapor hk per night servic facil far far standard high price
11,0,0,0,0,0,0,1,0,checkin although staff quit friend inform choic room avail arrang room face shop mall instead garden gave room key card adult kid could enter swim pool without card inform checkin counter mini bar instal wave sensor would charg sg move item store mini bar spend minut argu checkout staff disput unreason charg consum anyth mini bar move item mini bar also fridg store someth fridg take item fridg put back later
11,1,0,0,0,0,0,0,1,although swim pool top roof good qualiti water bad cleanli around swim pool bad attitud staff work swim pool rough
12,1,0,0,0,0,0,0,0,furnitur decor seem bit outdat huge room furnitur occupi half room felt like wast space
12,0,0,0,0,0,0,1,1,servic hit miss check queue long
13,0,0,0,0,0,0,0,1,genuin terribl valu money could hear loud music downstair room past midnight
13,0,0,0,0,0,0,0,1,could hear loud music downstair room past midnight
13,0,0,1,0,1,0,0,0,restaur worth price one refus serv us one friend wear midlength pant never seen dress code like even worldclass restaur
13,0,0,0,0,0,0,0,1,hotel big feel like massiv resort anyth resembl luxuri hotel
14,1,1,0,0,0,0,0,0,escal safe kid daughter got injur use escal shop foot went broke slipper big cut big left toe
14,0,0,0,0,0,0,0,1,dont doctor attend daughter staff clean wound happi
15,0,0,0,0,0,0,0,1,larg imperson place busi relax full transient peopl pool full peopl take selfi
15,1,0,0,0,0,0,0,0,take lift get pool share transient visitor
15,1,0,0,0,0,0,0,0,pool cold
15,0,0,0,0,1,0,0,0,bar top provid servic couldnt get drink relax
15,1,0,0,0,0,0,0,0,sun bed taken littl chanc actual enjoy pool day
